station name,latitude,longitude,year
W 43 St & 10 Ave,40.76009437,-73.99461843,2017
W 39 St & 9 Ave,40.75645824,-73.99372222,2017
E 20 St & 2 Ave,40.73587678,-73.98205027,2017
Catherine St & Monroe St,40.71117444,-73.99682619,2017
William St & Pine St,40.70717936,-74.00887308,2017
State St & Smith St,40.68926942,-73.98912867,2017
Greenwich Ave & 8 Ave,40.7390169121,-74.0026376103,2017
DeKalb Ave & Vanderbilt Ave,40.68940747,-73.96885458,2017
E 13 St & Avenue A,40.72955361,-73.98057249,2017
Murray St & West St,40.7149787,-74.013012,2017
W 13 St & 7 Ave,40.73781509,-73.99994661,2017
Grand St & Havemeyer St,40.71286844,-73.95698119,2017
1 Ave & E 16 St,40.73221853,-73.98165557,2017
Riverside Dr & W 72 St,40.78057799010334,-73.98562431335449,2017
Pearl St & Hanover Square,40.7047177,-74.00926027,2017
Commerce St & Van Brunt St,40.6812117,-74.00860912,2017
E 55 St & 3 Ave,40.75899655960512,-73.96865397691727,2017
W 26 St & 10 Ave,40.749717753,-74.002950346,2017
5 Ave & E 78 St,40.77632142182271,-73.96427392959595,2017
W 49 St & 8 Ave,40.76227205,-73.98788205,2017
Broadway & E 14 St,40.73454567,-73.99074142,2017
Lexington Ave & E 63 St,40.76440023,-73.96648977,2017
Centre St & Chambers St,40.71273266,-74.0046073,2017
Greenwich Ave & Charles St,40.735238,-74.000271,2017
W Broadway & Spring St,40.72490985,-74.00154702,2017
W 78 St & Broadway,40.78339981,-73.98093133,2017
Lexington Ave & E 29 St,40.74311555376486,-73.98215353488922,2017
E 15 St & 3 Ave,40.734232,-73.986923,2017
Carmine St & 6 Ave,40.73038599,-74.00214988,2017
E 10 St & Avenue A,40.72740794,-73.98142006,2017
Frost St & Meeker St,40.71764,-73.94882,2017
1 Ave & E 68 St,40.76500525,-73.95818491,2017
Congress St & Clinton St,40.6881529,-73.99520919,2017
W 13 St & Hudson St,40.73997354103409,-74.00513872504234,2017
Fulton St & Broadway,40.711066,-74.009447,2017
W 15 St & 7 Ave,40.73935542,-73.99931783,2017
9 Ave & W 45 St,40.76019252,-73.9912551,2017
E 35 St & 3 Ave,40.746524,-73.977885,2017
MacDougal St & Prince St,40.72710258,-74.00297088,2017
Graham Ave & Conselyea St,40.715143,-73.944507,2017
Broadway & W 60 St,40.76915505,-73.98191841,2017
E 17 St & Broadway,40.73704984,-73.99009296,2017
E 23 St & 1 Ave,40.736502,-73.97809472,2017
Perry St & Bleecker St,40.73535398,-74.00483091,2017
Duane St & Greenwich St,40.71748752,-74.0104554,2017
Stanton St & Chrystie St,40.72229346,-73.99147535,2017
9 Ave & W 28 St,40.74937024193277,-73.99923384189606,2017
W 20 St & 8 Ave,40.74345335,-74.00004031,2017
W 22 St & 8 Ave,40.74475148,-73.99915362,2017
Pershing Square North,40.751873,-73.977706,2017
Bedford Ave & Nassau Ave,40.72311651,-73.95212324,2017
Broadway & E 22 St,40.7403432,-73.98955109,2017
W 20 St & 7 Ave,40.74238787,-73.99726235,2017
W 59 St & 10 Ave,40.770513,-73.988038,2017
11 Ave & W 59 St,40.771522,-73.990541,2017
S 4 St & Wythe Ave,40.71285887,-73.96590294,2017
Clinton Ave & Flushing Ave,40.69794,-73.96986848,2017
Union Ave & N 12 St,40.71924,-73.95242,2017
Broadway & Berry St,40.71044554,-73.96525063,2017
E 81 St & 3 Ave,40.77573034,-73.9567526,2017
Metropolitan Ave & Bedford Ave,40.71534825,-73.96024116,2017
E 12 St & 3 Ave,40.73223272,-73.98889957,2017
E 33 St & 2 Ave,40.744023,-73.976056,2017
W 70 St & Amsterdam Ave,40.77748046,-73.98288594,2017
Douglass St & 4 Ave,40.6792788,-73.98154004,2017
Willoughby Ave & Tompkins Ave,40.69425403,-73.94626915,2017
Little West St & 1 Pl,40.70569254,-74.01677685,2017
E 103 St & Lexington Ave,40.7903051,-73.94755757,2017
St Marks Pl & 2 Ave,40.7284186,-73.98713956,2017
E 47 St & 2 Ave,40.75323098,-73.97032517,2017
MacDougal St & Washington Sq,40.73226398,-73.99852205,2017
E 11 St & 2 Ave,40.73047309,-73.98672378,2017
